Community,Community Address,Community,Build Year,Buiding_Type,Maintenance_Cost,Company,Developer,Total_Building,Total_House
李园一村,"(嘉定嘉定老城)李园一村, 李园一村82弄",5.01E+12,1986年建成,板楼,0.9至1元/平米/月,自主物业,嘉定房地产有限公司,94栋,1794户
闻喜路1202弄,(静安彭浦)闻喜路1202弄,5.01E+12,1992年建成,塔楼/板楼,0.8元/平米/月,上海北安物业管理有限公司,市建,9栋,249户
阳光水岸苑,(普陀桃浦)真南路3489弄,5.01E+12,2011年建成,塔楼/板楼,0.3至1.99元/平米/月,上海燎原物业有限公司,上海浩浦房地产发展有限公司,53栋,977户
国和路1007号,(杨浦中原)国和路1007号,5.01E+12,1996年建成,板楼,0.5元/平米/月,上海卫百辛(集团)有限公司,卫百辛集团,1栋,24户
平顺路721弄,(静安彭浦)平顺路721弄,5.01E+12,1990年建成,板楼,0.6元/平米/月,不夜城物业,彭浦房地产开发有限公司,15栋,174户
安居锦竹苑,(普陀桃浦)竹柳路50弄,5.01E+12,2013年建成,塔楼/板楼,1.44元/平米/月,上海绿安物业管理发展有限公司,上海安真房地产有限公司,13栋,1354户
四平路幸福村,(虹口曲阳)四平路幸福村,5.01E+12,1955年建成,板楼,0.8元/平米/月,上海虹达物业管理有限公司,虹房置业,52栋,1055户
永建路152弄,(浦东金桥)永建路152弄（佳林路941弄1支弄）,5.01E+12,1994年建成,板楼,0.6元/平米/月,上海伟发物业有限公司,上海伟发置业有限公司,6栋,72户
季景铭郡,(嘉定南翔)古猗园南路355弄,5.01E+12,2014年建成,板楼,2.7元/平米/月,狮城怡安（上海）物业管理有限公司,上海吉翔置业有限公司,36栋,1475户
水电路80弄,(虹口凉城)水电路80弄,5.01E+12,1957年建成,板楼,暂无信息,暂无信息,无,3栋,88户
海上国际,(杨浦鞍山)控江路2068号,5.01E+12,2015年建成,塔楼,1.88元/平米/月,上海永升物业管理有限公司,上海海际房地产有限公司,1栋,676户
仁德路67弄,(杨浦五角场)仁德路67弄,5.01E+12,1990年建成,板楼,0.8元/平米/月,自主物业,暂无信息,5栋,97户
敦化路2弄,(杨浦控江路)敦化路2弄,5.01E+12,1974年建成,板楼,暂无信息,暂无信息,暂无信息,12栋,251户
好世凤翔苑,(嘉定南翔)金通路1737弄,5.01E+12,2012年建成,板楼,2.95元/平米/月,上海锐翔上房物业管理有限公司,上海好世置业有限公司,32栋,1489户
眉州路474弄,(杨浦东外滩)眉州路474弄,5.01E+12,1993年建成,板楼,0.8元/平米/月,上海平凉物业管理有限公司,五指山水墨雨林置业有限公司,5栋,49户
洛场路300弄,(宝山大场镇)洛场路300弄,5.01E+12,1994年建成,板楼,0.8元/平米/月,上海乾溪物业管理有限公司,上海建乾房地产开发有限公司,25栋,300户
洛场路250弄,(宝山大场镇)洛场路250弄,5.01E+12,1994年建成,板楼,0.45元/平米/月,上海乾溪物业管理有限公司,上海乾溪置业总公司,6栋,108户
银山路187弄,(浦东金杨)银山路187弄,5.01E+12,1997年建成,板楼,0.8元/平米/月,上海陆家嘴双乐物业管理有限公司,锦和集团,2栋,24户
银山路185弄,(浦东金杨)银山路185弄,5.01E+12,1994年建成,板楼,0.8元/平米/月,上海兴晖物业管理有限公司,上海陆家嘴房产开发有限公司,5栋,60户
融创外滩188,"(虹口北外滩)商丘路399弄, 东余杭路333号",5.01E+12,2000年建成,板楼,8.3元/平米/月,绿城物业,上海融绿启威置业有限公司,5栋,217户
滨江晶典,(杨浦东外滩)惠民路1018弄,5.01E+12,2011年建成,板楼,1.76元/平米/月,上汽物业,上海尚发房地产发展有限公司,7栋,316户
苏家巷小区,(静安不夜城)芷江西路393弄,5.01E+12,1982年建成,板楼,0.86元/平米/月,上海北方物业管理有限公司,上海苏家巷房地产有限公司,28栋,758户
芷江西路254号,(静安不夜城)芷江西路254号,5.01E+12,1991年建成,塔楼,0.5元/平米/月,上海凯兴物业管理有限公司,暂无信息,1栋,70户
平凉路627弄,(杨浦东外滩)平凉路627弄,5.01E+12,1975年建成,板楼,1.1元/平米/月,暂无信息,暂无信息,6栋,238户
尚海郦景,(浦东源深)桃林路299弄,5.01E+12,2017年建成,板楼,6.5元/平米/月,上海新古北物业管理有限公司,上海地产（集团）有限公司,42栋,1743户
香山新村西北街坊,"(浦东金杨)德平路1066弄,灵山路1671弄",5.01E+12,1996年建成,板楼,0.35至0.8元/平米/月,上海欣城物业有限公司,上海宏胜集团,115栋,1470户
昆山小区,(虹口北外滩)昆山路103弄,5.01E+12,1980年建成,板楼,暂无信息,新城物业,未知,6栋,85户
奔腾新干线,(静安西藏北路)宝山路450弄17号,5.01E+12,2003年建成,塔楼,2.48元/平米/月,上海不夜城全兴物业管理有限公司,上海三宝花苑房产开发公司,1栋,640户
北石路124号,(普陀真如)北石路124号,5.01E+12,1986年建成,板楼,0.65元/平米/月,上海真中物业管理有限公司,真如房地产公司,1栋,35户
南大街22弄,(普陀真如)南大街22弄,5.01E+12,1981年建成,板楼,0.8元/平米/月,真如物业,真如房地产公司,5栋,114户
浦发罗兰翡丽,(浦东唐镇)玉盘北路281弄,5.01E+12,2015年建成,板楼,4.5元/平米/月,上海绿城物业有限公司,上海浦东发展置业有限公司,47栋,2047户
金融街静安中心,"(静安曹家渡)万航渡路720号, 万航渡路724号, 万航渡路736号, 万航渡路722号, 万航渡路726号, 万航渡路730号, 万航渡路780号, 万航渡路800号",5.01E+12,1990年建成,板楼,8元/平米/月,第一太平戴维斯物业管理有限公司,上海静盛房地产开发有限公司,9栋,289户
虹康家园,(长宁西郊)淞虹路828弄,5.01E+12,2001年建成,板楼,0.75元/平米/月,川施物业,上海骏顺房地产开发有限公司,9栋,97户
剑河路896弄,(长宁西郊)剑河路896弄,5.01E+12,1997年建成,板楼,1.25元/平米/月,绿地物业,绿城集团,8栋,45户
西湖公寓,"(徐汇衡山路)衡山路307弄, 衡山路305号, 衡山路303号",5.01E+12,1936年建成,板楼,0.1元/平米/月,上海高建物业有限公司,上大阳光,3栋,25户
梓潼公寓,"(浦东周浦)上南路7959弄, 上南路7943号, 上南路7945号, 上南路7947号",5.01E+12,1995年建成,板楼,0.4元/平米/月,上海鑫源物业公司,周康置业开发有限公司,15栋,156户
中骏柏景湾,(浦东康桥)渡桥路78弄,5.01E+12,2015年建成,塔楼/板楼,3.5元/平米/月,世邦泰和物业管理有限公司,上海骏富房地产开发有限公司,55栋,1098户
久福公寓,(闵行莘庄)莘东路51弄,5.01E+12,1999年建成,板楼,0.5元/平米/月,复欣物业,上海福隆房地产开发经营中心,5栋,61户
月桂苑,(浦东周浦)东八灶63弄,5.01E+12,2002年建成,板楼,0.4元/平米/月,上海欣周物业管理有限公司,周康置业开发有限公司,20栋,224户
欣周花园,"(浦东周浦)年家浜路366弄, 康沈路1660号, 康沈路1662号, 康沈路1666号, 康沈路1668号, 康沈路1698号, 康沈路1712号, 康沈路1672号, 年家浜路368号",5.01E+12,1986年建成,板楼,0.7元/平米/月,上海欣周物业管理有限公司,周康置业开发有限公司,30栋,259户
三江路16号,(徐汇龙华)三江路16号,5.01E+12,1996年建成,板楼,暂无信息,暂无信息,广州恒大,1栋,15户
建华铂中环,(浦东御桥)康桥路1029弄,5.01E+12,2016年建成,板楼,暂无信息,汤始物业,上海三佑置业发展有限公司,2栋,420户
新凯城丁香苑,(松江泗泾)城置路282弄,5.01E+12,2012年建成,板楼,1.2元/平米/月,上海玉星物业管理有限公司,上海新凯房地产开发有限公司,24栋,1688户
莘沥路18弄,(闵行莘庄)莘沥路18弄,5.01E+12,1996年建成,板楼,0.5元/平米/月,暂无信息,上海物业,4栋,48户
新凯城钟秀苑,(松江泗泾)泗凯路415弄,5.01E+12,2012年建成,板楼,1.2元/平米/月,上海新凯物业管理公司,上海新凯房地产开发有限公司,16栋,1008户
中山南二路960弄,(徐汇万体馆)中山南二路960弄,5.01E+12,1983年建成,板楼,0.8至1元/平米/月,上海高建物业有限公司,上海上房置业中心有限公司,4栋,121户
百色路208号,(徐汇植物园)百色路208号,5.01E+12,2004年建成,板楼,暂无信息,暂无信息,暂无信息,1栋,18户
绿地云悦坊,(浦东川沙)川沙路5600弄,5.01E+12,2015年建成,塔楼,2.8至3.5元/平米/月,上海欣周物业管理有限公司,上海浦云房地产开发有限公司,3栋,953户
英庭名墅,(青浦徐泾)诸光路228弄,5.01E+12,2001年建成,板楼,8元/平米/月,戴德梁行物业有限公司,上海广南房地产发展有限公司,250栋,452户
杨思路602号,(浦东三林)杨思路602号,5.01E+12,1990年建成,板楼,0.5元/平米/月,锦和物业,三林集团,1栋,30户
得源公寓,(徐汇华东理工)天等路228弄,5.01E+12,1999年建成,板楼,1.5元/平米/月,自主物业,上海绿宇房地产开发有限公司,4栋,49户
浦仓路768弄,(青浦夏阳)浦仓路768弄,5.01E+12,1998年建成,板楼,0.5元/平米/月,青房物业,青浦房地产开发有限公司,7栋,72户
罗秀家园,(徐汇华东理工)罗秀路880弄,5.01E+12,2002年建成,板楼,0.8元/平米/月,暂无信息,无,11栋,126户
青杉路200弄,(闵行龙柏)青杉路200弄,5.01E+12,2006年建成,板楼,0.4元/平米/月,龙柏俊领国际酒店物业,上海中祥（集团）有限公司,1栋,88户
浦三路4677弄,(浦东康桥)浦三路4677弄,5.01E+12,1994年建成,板楼,暂无信息,浦房物业服务中心有限公司,城浦,6栋,72户
九亭教师楼,(松江九亭)九亭大街317弄,5.01E+12,2000年建成,板楼,0.45元/平米/月,暂无信息,上海茸新房地产开发有限公司,8栋,72户
新丰公寓,(青浦华新)凤徐路85弄,5.01E+12,2014年建成,板楼,1.1元/平米/月,暂无信息,暂无信息,22栋,1356户
阳光城愉景湾,(浦东川沙)妙川路800弄,5.01E+12,2014年建成,板楼,3.6元/平米/月,阳光城物业服务（福建）有限公司嘉兴分公司,上海迅腾博房地产开发有限公司,102栋,1289户
龙华西路334弄,(徐汇龙华)龙华西路334弄,5.01E+12,1981年建成,板楼,0.5元/平米/月,暂无信息,北京链家房地产有限公司,7栋,130户
耀华路360弄,(浦东世博)耀华路360弄,5.01E+12,1998年建成,板楼,0.4元/平米/月,上海上钢物业公司,上海南上海动拆迁置业有限公司,6栋,72户
天竹新村,(浦东川沙)天竹新村,5.01E+12,1995年建成,板楼,0.6元/平米/月,暂无信息,暂无信息,10栋,128户
绿茵公寓,(闵行莘庄)山花路268弄,5.01E+12,1998年建成,板楼,1元/平米/月,暂无信息,上海物业,6栋,42户
城开珑庭,(闵行梅陇)龙州南路58弄,5.01E+12,2013年建成,板楼,2.6至2.8元/平米/月,上海上房物业管理有限公司,上海城开集团晶实置业有限公司,14栋,1132户
南杨小区(新浦路),"(浦东三林)新浦路346弄,新浦路350弄,新浦路380弄",5.01E+12,1994年建成,板楼,0.6元/平米/月,浦房集团物业管理有限公司,浦发集团,38栋,720户
周家湾小区,"(徐汇龙华)龙华西路100弄, 龙华西路101号, 龙华西路99号, 龙华西路97号, 龙华西路91号, 龙华西路周家湾87号, 龙华西路81弄1-66号",5.01E+12,1980年建成,板楼,0.8至1.2元/平米/月,城锦物业,中房地产,77栋,1372户
申达新村,(浦东惠南)申达新村,5.01E+12,1995年建成,板楼,1.7元/平米/月,上海建政物业,上海物业,9栋,108户
联谊新寓,(浦东惠南)人民东路3029弄,5.01E+12,2002年建成,板楼,0.8元/平米/月,庆国物业,上海万国企业发展有限公司,17栋,160户
工业新村,(浦东惠南)工业新村,5.01E+12,1985年建成,板楼,0.73元/平米/月,上海南汇惠房物业管理有限公司,上海中福地产置业有限公司,7栋,72户
