Community,Community Address,Community,Build Year,Buiding_Type,Maintenance_Cost,Company,Developer,Total_Building,Total_House
桥一小区,(黄浦五里桥)局门路434弄,5.01E+12,1989年建成,板楼,0.8元/平米/月,上海开城物业管理有限公司,无开发商,18栋,586户
长桥一村,(徐汇长桥)长桥一村,5.01E+12,1977年建成,塔楼/板楼,0.8元/平米/月,上海梅陇物业管理有限公司,梅陇房产,75栋,1665户
佳信徐汇公寓,(徐汇万体馆)漕东支路111弄,5.01E+12,1998年建成,塔楼/板楼,2元/平米/月,上海佳信物业管理有限公司,上海佳信房地产开发公司,5栋,396户
强家渡小区,"(长宁中山公园)万航渡路2518号,万航渡路2500号,万航渡路2488号,万航渡路2514号,万航渡路2516号",5.01E+12,1987年建成,板楼,0.6元/平米/月,华阳物业,长宁集团,6栋,131户
御墅名邸国际酒店,"(长宁西郊)剑河路666号,剑河路668号",5.01E+12,2002年建成,板楼,暂无信息,暂无信息,暂无信息,2栋,81户
中海瀛台,"(徐汇华泾)龙瑞路128弄（一期）,龙瑞路77弄（二期）",5.01E+12,2005年建成,板楼,2.95至2.98元/平米/月,中海物业管理（上海）有限公司,上海新海汇房产有限公司,43栋,2004户
钦州路111弄,(徐汇康健)钦州路111弄,5.01E+12,1995年建成,塔楼/板楼,0.8至1.1元/平米/月,上海申德房地产有限公司,上海申德房地产有限公司,21栋,1043户
生安花苑,(浦东源深)张杨路1673弄,5.01E+12,2001年建成,板楼,1.5元/平米/月,上海爱家物业管理有限公司,上海爱家房地产有限公司,14栋,376户
怒江新苑,(普陀长风)怒江路651弄1-26号,5.01E+12,1997年建成,板楼,1元/平米/月,上海中星集团申城物业有限公司,上海汽车工业房地产开发有限公司,23栋,272户
锦绣家园,"(黄浦蓬莱公园)斜土东路265弄, 斜土东路257号",5.01E+12,2000年建成,板楼,1.5元/平米/月,上海锦南物业经营有限公司,上海黄埔区房地产开发实业总公司,12栋,411户
蒙自路601弄,(黄浦五里桥)蒙自路601弄,5.01E+12,1986年建成,板楼,0.42元/平米/月,永业永理物业,上海永理置业管理有限公司,20栋,480户
新里城和合苑,(浦东三林)杨高南路4501弄,5.01E+12,1999年建成,板楼,0.42元/平米/月,上海中凯物业有限公司,上海万科地产有限公司,124栋,1520户
复兴南苑,(黄浦打浦桥)瞿溪路1199弄,5.01E+12,2002年建成,板楼,1.85元/平米/月,上海鸿日物业发展有限公司,上海复兴建设发展有限公司,7栋,184户
永新花苑,"(徐汇徐家汇)辛耕路100弄,肇嘉浜路1029弄18号",5.01E+12,1999年建成,塔楼,3至3.2元/平米/月,新昌物业,上海永龙房地产有限公司,4栋,792户
绿海家园,"(浦东川沙)川周公路8828弄, 川周路8828弄",5.01E+12,1994年建成,板楼,0.35元/平米/月,上海吉利物业管理有限公司,上海松辽房地产公司,89栋,1360户
维诗凯亚,(浦东碧云)云山路2000弄,5.01E+12,2004年建成,板楼,8.5元/平米/月,上海万科物业管理有限公司,上海俐马向荣碧云房地产有限公司,179栋,179户
吉浦小区,(杨浦五角场)吉浦路395弄,5.01E+12,1995年建成,塔楼/板楼,1.01元/平米/月,上海绿岛物业发展有限公司,上海绿岛房产开发公司,17栋,572户
大明小区,(长宁中山公园)长宁路380弄1-16号,5.01E+12,1992年建成,板楼,0.8元/平米/月,上海都佳物业管理有限公司,长宁集团,16栋,209户
广盛苑,(静安阳城)灵石路963弄,5.01E+12,2002年建成,板楼,0.7至0.8元/平米/月,上海繁华物业管理有限公司,盛发置业,43栋,686户
泰鸿苑,(杨浦周家嘴路)周家嘴路2188弄,5.01E+12,2001年建成,板楼,1元/平米/月,上海泰鸿房地产有限公司,上海泰鸿实业有限公司,19栋,247户
橡胶小区,(徐汇徐家汇)宛平南路19弄,5.01E+12,1993年建成,塔楼/板楼,1.2元/平米/月,上海高建物业有限公司,集资开发,5栋,621户
崂山四村,(浦东陆家嘴)崂山四村,5.01E+12,1958年建成,塔楼/板楼,0.06元/平米/月,建工物业,上海建工房产有限公司,63栋,1902户
阳光威尼斯(二期),(普陀真光)定边路377弄,5.01E+12,2005年建成,板楼,1.53元/平米/月,上海阳光投资(集团)物业管理有限公司,上海意景房产开发有限公司,17栋,1198户
阳光威尼斯(三期),(普陀真光)靖边路199弄,5.01E+12,2006年建成,板楼,1.53元/平米/月,上海阳光物业管理有限公司,上海意景房产开发有限公司,25栋,2809户
阳光威尼斯(四期)(公寓),"(普陀真光)金鼎路1600弄,祁连山南路2727弄（单号）",5.01E+12,2008年建成,塔楼/板楼,1.65元/平米/月,上海阳光投资(集团)物业管理有限公司,上海意景房产开发有限公司,32栋,1555户
金桥花苑,(浦东金桥)长岛路588弄,5.01E+12,1998年建成,板楼,0.6至0.9元/平米/月,金新物业,金城集团,51栋,614户
信通浦皓园,(杨浦周家嘴路)兰州路1333弄,5.01E+12,2006年建成,板楼,1.58元/平米/月,上海民盈城投物业管理有限公司,上海信通浦皓置业有限公司,8栋,348户
心族公寓,(静安大宁)柳营路650弄,5.01E+12,1996年建成,板楼,1.1元/平米/月,上海海运物业管理公司,上海跃进房地产开发有限公司,37栋,546户
协诚中心大厦,(静安不夜城)大统路958弄,5.01E+12,1997年建成,塔楼,1.3元/平米/月,仁爱物业,上海协顺房产有限公司,1栋,182户
上海家园,(普陀真光)金鼎路298弄,5.01E+12,2004年建成,塔楼/板楼,1.5元/平米/月,凯德物业有限公司,上海鑫鼎房地产开发有限公司,51栋,747户
电影华苑,(徐汇徐家汇)零陵路751弄,5.01E+12,2008年建成,塔楼/板楼,2.8元/平米/月,上海上实金马物业管理有限公司,上海东方金马房地产有限公司,4栋,906户
民心小区,(长宁中山公园)长宁路396弄,5.01E+12,1987年建成,板楼,0.5元/平米/月,自主物业,长宁集团,41栋,942户
永嘉大楼,(徐汇衡山路)永嘉路589号,5.01E+12,2000年建成,塔楼,1.8元/平米/月,自主物业,物业和度娘都不知道开发商名称,1栋,210户
圣莲大厦,"(黄浦豫园)学院路32弄1号, 东街123号",5.01E+12,2007年建成,塔楼/板楼,2元/平米/月,上海圣莲物业管理有限公司,上海锦鸿房地产开发经营有限公司,2栋,76户
景泰大厦,(徐汇斜土路)斜土路1175号,5.01E+12,1995年建成,塔楼,3元/平米/月,上海南希物业管理有限公司,上海南希房地产开发有限公司,1栋,163户
徐汇御景苑,(徐汇龙华)龙吴路288弄,5.01E+12,2004年建成,板楼,1.95元/平米/月,筑安物业有限公司,上海市城镇建设发展有限公司,13栋,398户
永乐苑,(静安大宁)延长中路800弄,5.01E+12,1997年建成,板楼,1元/平米/月,不夜城物业,上海市闸北区城市发展投资总公司,105栋,1384户
嘉利明珠城,(静安闸北公园)平型关路377弄,5.01E+12,2005年建成,板楼,1.85至2.1元/平米/月,上海中建物业管理有限公司,上海北亚华欣置业有限公司,26栋,2657户
绿洲比华利花园,(松江莘闵别墅)明华路366弄,5.01E+12,1980年建成,板楼,1.96至2.8元/平米/月,上海永升物业管理有限公司,翰阳（上海）城市建设发展有限公司,562栋,562户
金桥新城,"(浦东金桥)东陆路2000弄, 金高路2131弄, 浦东新区金桥镇",5.01E+12,2004年建成,板楼,1.35元/平米/月,上海芸绮物业管理有限公司,上海金馨丽舍置业有限公司,89栋,1779户
杰仕豪庭,(黄浦人民广场)威海路168弄,5.01E+12,2002年建成,板楼,2.3元/平米/月,上海长美物业管理有限公司,长江经济联合发展（集团）上海长威房地产有限公司,2栋,147户
瑞金花园,(黄浦打浦桥)建国西路91弄1-3号,5.01E+12,1997年建成,塔楼,2.2元/平米/月,上海申鹏物业管理有限公司,上海申新房地产开发有限公司,3栋,414户
古北国际广场,(长宁古北)富贵东道229弄,5.01E+12,2006年建成,板楼,3.85至4.85元/平米/月,古北物业,上海古北京宸置业发展有限公司,12栋,678户
玉兰花苑,"(徐汇徐家汇)蒲汇塘路50号,漕溪北路玉兰花苑",5.01E+12,1992年建成,塔板结合,1.6元/平米/月,上海上房物业管理有限公司昆山分公司,上海市城市建设综合开发有限公司,5栋,843户
亦园,(徐汇衡山路)安福路168号,5.01E+12,1999年建成,板楼,10元/平米/月,上海其士物业管理有限公司,上海创名房地产发展有限公司,3栋,413户
香山苑,"(普陀曹杨)枣阳路185弄, 枣阳路179号",5.01E+12,1986年建成,塔楼/板楼,1.2元/平米/月,上海安居物业有限公司,上海民苑房地产开发有限公司,16栋,577户
桃林小区,"(浦东源深)民生路818弄,灵山路701弄",5.01E+12,1996年建成,塔楼/板楼,1.2元/平米/月,上海建工物业有限公司,上海陆洋物业管理有限公司,43栋,1008户
国泰大厦,(长宁中山公园)定西路1310弄4号,5.01E+12,1994年建成,塔楼,1.4元/平米/月,上海彭浦物业管理公司,长宁开发,1栋,144户
新都城公寓,(静安曹家渡)余姚路456号,5.01E+12,2002年建成,塔楼,1.78元/平米/月,上海巨星物业有限公司,上海定城房地产开发有限公司,1栋,176户
河滨豪园,(静安西藏北路)山西北路9弄,5.01E+12,2000年建成,板楼,3.1元/平米/月,上海联洋港力物业管理有限公司,上海天安河滨花园有限公司,5栋,284户
国际明佳城,(虹口四川北路)衡水路89弄,5.01E+12,2004年建成,板楼,1.95元/平米/月,康景物业,上海宏明投资有限公司,5栋,430户
宝城大厦,(闵行古美)虹梅路269号,5.01E+12,1996年建成,塔楼,1.5元/平米/月,上海宝城物业管理有限公司,金梅地产,1栋,144户
宜仕怡家,(徐汇万体馆)龙华西路591弄,5.01E+12,2002年建成,板楼,1.6至2.1元/平米/月,申大物业,上海城开（集团）有限公司,13栋,465户
控江二村,(杨浦控江路)控江二村,5.01E+12,1972年建成,板楼,0.6元/平米/月,上海四平物业管理有限公司,老上海黄兴房产开发公司,40栋,804户
巴黎之春,(普陀万里)富平路737弄,5.01E+12,2002年建成,板楼,1.48元/平米/月,上海陆家嘴物业管理有限公司,上海中环投资开发(集团)有限公司,44栋,1102户
建德花园海棠苑,(普陀长征)棕榈路300弄,5.01E+12,1997年建成,板楼,0.3元/平米/月,上海建玮物业管理有限公司,上海建德企业发展有限公司,64栋,795户
古龙苑,(闵行古美)顾戴路388弄,5.01E+12,1999年建成,板楼,0.8元/平米/月,厦门古龙集团房地产有限公司,厦门古龙集团房地产有限公司,67栋,738户
兆丰花园,(长宁中山公园)长宁路969号,5.01E+12,2001年建成,塔楼,2.1元/平米/月,上海瑞强物业管理有限公司,上海新长宁（集团）有限公司,1栋,249户
绿洲仕格维花园,"(黄浦打浦桥)打浦路25号,打浦路29号,打浦路35号",5.01E+12,2005年建成,板楼,4元/平米/月,上海上置物业管理有限公司,上海绿洲仕格维花园酒店公寓有限公司,3栋,203户
卢湾都市花园,(黄浦五里桥)鲁班路509弄,5.01E+12,2004年建成,板楼,2.12元/平米/月,上海金玉兰物业管理有限公司,上海申新房地产开发有限公司,13栋,812户
太子公寓,(长宁新华路)番禺路118弄,5.01E+12,1995年建成,板楼,2.5至3.6元/平米/月,上海华联物业管理有限公司,上海益发房地产发展有限公司,4栋,120户
实地公寓,(普陀真如)岚皋西路61弄10支弄,5.01E+12,2003年建成,塔楼/板楼,1.2元/平米/月,上海天傲物业管理有限公司,上海枫叶置业有限公司,2栋,184户
武定大楼,(静安江宁路)江宁路401弄3号,5.01E+12,1991年建成,塔板结合,1.1元/平米/月,上海康定物业管理有限公司,静安置业,1栋,180户
曹家巷小区,"(普陀武宁)中山北路3620弄,中山北路3644弄,中山北路3676弄,中山北路3700弄",5.01E+12,1977年建成,板楼,0.5至0.8元/平米/月,上海长风物业有限公司,上海华运房地产开发有限公司,44栋,1019户
曹杨家园,(普陀真如)曹杨路2155弄,5.01E+12,1997年建成,板楼,1.4元/平米/月,上海久富物业管理有限公司,上海申久房地产有限公司,28栋,414户
海鑫公寓,(普陀长风)中山北路3751弄,5.01E+12,1996年建成,塔楼/板楼,1.2元/平米/月,上海苑鑫物业管理有限公司,苑鑫开发有限公司,9栋,904户
氯碱小区,(闵行吴泾)剑川路50弄,5.01E+12,1988年建成,塔楼/板楼,0.8元/平米/月,上海吴泾物业管理有限公司,无开发商,104栋,2154户
协和大厦,(静安不夜城)中山北路814弄,5.01E+12,2003年建成,塔楼/板楼,1.54元/平米/月,上海协和物业发展有限公司,上海闵行协和房地产开发有限公司,16栋,604户
甘泉二村,(普陀甘泉宜川)甘泉路501弄,5.01E+12,1982年建成,板楼,0.8元/平米/月,上海申达物业发展公司,普陀建筑,51栋,1184户
虹桥花苑,(闵行金虹桥)虹梅路3200弄,5.01E+12,2001年建成,板楼,2.85元/平米/月,上海宝鼎物业管理有限公司,上海宝鼎置业有限公司,40栋,929户
八方大厦,(浦东源深)张杨路1589-1591号,5.01E+12,1993年建成,塔楼,1.15元/平米/月,上海八方物业管理有限公司,上海八方房地产经营公司,2栋,312户
风信景苑,(浦东外高桥)春晖路628弄,5.01E+12,2007年建成,板楼,1.65元/平米/月,上海浦东物业管理公司,上海新高桥开发有限公司,40栋,216户
虬江大楼,"(静安西藏北路)虬江路1120号,虬江路1140号",5.01E+12,1988年建成,塔楼/板楼,1.2至1.6元/平米/月,上海申鹭物业管理有限公司,上海市住宅开发中心第二分公司,2栋,177户
金龙花园,"(浦东塘桥)东方路1523弄1-3号, 浦建路339号",5.01E+12,1994年建成,板楼,2.45元/平米/月,上海方圆物业管理有限公司,上海建工房产有限公司,4栋,207户
虹叶茗园,(虹口临平路)周家嘴路981弄,5.01E+12,2003年建成,板楼,1.5元/平米/月,德仕物业,上海虹叶置业发展有限公司,16栋,1161户
金鹏花园,"(杨浦周家嘴路)兰州路1100弄,兰州路1101弄",5.01E+12,1998年建成,塔楼,0.8元/平米/月,上海金鹏物业管理有限公司,金鹏集团股份有限公司,8栋,1344户
迎龙大厦(公寓),(长宁新华路)延安西路1358号,5.01E+12,2004年建成,板楼,2.87元/平米/月,上海威亚物业管理有限公司,上海太平房地产开发有限公司,3栋,163户
翡翠公寓,(长宁古北)水城南路51弄40-51号,5.01E+12,1992年建成,板楼,1.65元/平米/月,上海古北物业管理有限公司,古北集团,16栋,127户
茂名公寓,"(静安南京西路)茂名北路90弄, 茂名北路112弄, 茂名北路118弄, 茂名北路200弄, 茂名北路88号, 升平街17-23号",5.01E+12,1999年建成,板楼,0.58至2元/平米/月,上海金威物业有限公司,上海众怡置业有限公司,29栋,643户
华敏翰尊国际,"(长宁镇宁路)延安西路726号,延安西路728号",5.01E+12,1996年建成,板楼,24至25元/平米/月,上海高力国际物业管理有限公司,上海华友房地产开发有限公司,2栋,589户
广电大楼,(静安静安寺)长乐路1236弄2号,5.01E+12,1989年建成,塔楼,1.7元/平米/月,华园物业,上海京南地产,1栋,129户
永怡公寓,(闵行龙柏)黄桦路577弄,5.01E+12,2002年建成,板楼,1.8元/平米/月,上海水岸物业管理有限公司,上海元成房地产开发经营有限公司,12栋,260户
东苑绿世界花园(一期),(闵行古美)沪闵路6918弄,5.01E+12,1999年建成,板楼,1.5元/平米/月,东慧物业,上海东苑房地产开发（集团）有限公司,30栋,418户
太和坊,"(静安南京西路)泰兴路594弄, 武定路56号, 武定路74号, 武定路72号, 泰兴路598号, 泰兴路602号, 武定路88号, 武定路104号, 武定路58号",5.01E+12,1928年建成,板楼,0.6至0.7元/平米/月,德国凯宾斯基物业物业管理公司,楚文房地产,20栋,105户
明日星城,"(黄浦董家渡)河南南路1001弄（一期）, 河南南路1009弄（一期）, 江阴街34、36号, 河南南路868弄",5.01E+12,2000年建成,板楼,1.6至2元/平米/月,上海海鸿福船物业管理有限公司,上海东方金马房产发展有限公司,25栋,2059户
宝虹公寓,(闵行金汇)红松路175弄15-67号（单号）,5.01E+12,1998年建成,板楼,1.5元/平米/月,上海太实物业管理公司,上海宝虹房地产实业有限公司,23栋,302户
西郊枫林苑,(青浦徐泾)诸光路380弄,5.01E+12,2000年建成,板楼,3.5至5.5元/平米/月,上海蒙阳物业管理有限公司,上海兴鑫房地产开发有限公司,48栋,53户
同科公寓,(浦东源深)浦东大道637号,5.01E+12,2000年建成,塔楼,1.38元/平米/月,上海悦华物业管理有限公司,上海同济房地产开发经营有限公司,1栋,126户
龙柏山庄,(长宁西郊)虹桥路2489弄188号,5.01E+12,1995年建成,板楼,3.2元/平米/月,上海中西物业管理有限公司,置地集团上海有限公司,35栋,35户
城宁花苑,(长宁中山公园)长宁路1318弄,5.01E+12,2006年建成,板楼,2元/平米/月,上海圣维仕物业管理有限公司,上海城宁置业有限公司,6栋,259户
田园别墅(别墅),(长宁西郊)剑河路888号,5.01E+12,1995年建成,板楼,2.7元/平米/月,上海绿地物业服务有限公司,绿城集团,101栋,101户
西郊华城,(青浦徐泾)高泾路800弄,5.01E+12,1998年建成,板楼,3.5元/平米/月,深圳和平物业管理有限公司,上海浦宸地产开发经营有限公司,342栋,342户
建宁大厦,(长宁中山公园)定西路1310弄10号,5.01E+12,1994年建成,塔楼,1.65元/平米/月,新华物业,市建,1栋,192户
牡丹园(徐汇),(徐汇康健)桂平路218弄,5.01E+12,1993年建成,板楼,4元/平米/月,上海中房物业管理有限公司,中房上海房地产（集团）有限公司,152栋,152户
强生古北花园,(长宁古北)黄金城道717弄,5.01E+12,2007年建成,板楼,4.8元/平米/月,上海新古北物业管理有限公司,上海古强房地产开发有限公司,16栋,553户
白金瀚宫,(浦东唐镇)龙东大道4288弄,5.01E+12,2005年建成,板楼,4.8元/平米/月,上海意晟物业管理有限公司,上海豪洲建设发展有限公司,285栋,285户
金家巷小区,(静安曹家渡)新闸路1990弄,5.01E+12,1987年建成,板楼,0.4元/平米/月,上海宝翔物业有限公司,无开发商,6栋,136户
圣地维拉,(青浦徐泾)徐盈路158弄,5.01E+12,2006年建成,板楼,2.9至3.5元/平米/月,深圳和平物业管理有限公司,大华（集团）有限公司,267栋,282户
大豪山林别墅,(青浦徐泾)盈港东路2588弄,5.01E+12,2003年建成,板楼,4.8至5.8元/平米/月,上海高力国际物业服务有限公司,上海大豪城乡建设有限公司,314栋,322户
三和花园,(静安曹家渡)延平路123弄,5.01E+12,1984年建成,塔楼/板楼,1.8元/平米/月,上海万群物业管理有限公司,上海三和房地产经纪有限公司,14栋,1514户
四季全景台,(浦东花木)花木路916弄,5.01E+12,2005年建成,塔楼/板楼,2.15元/平米/月,富宁物业,上海新希望集团房地产开发有限公司,4栋,441户
临沂五村,"(浦东南码头)临沂路381弄,临沂路301弄",5.01E+12,1990年建成,板楼,0.6至0.8元/平米/月,上海振南物业公司,上海建工房产有限公司,57栋,1332户
中虹花园丽都苑,(虹口凉城)凉城路357弄,5.01E+12,2002年建成,板楼,1.6元/平米/月,上海金翔物业管理有限公司,上海中虹(集团)有限公司,22栋,576户
洛川公寓,(普陀甘泉宜川)泾惠路91弄,5.01E+12,1999年建成,塔楼,1.4元/平米/月,上海达苑物业管理有限公司,西部集团,2栋,216户
金塘小区,(徐汇华东理工)老沪闵路333弄（桂林南路125弄）,5.01E+12,1994年建成,板楼,0.6元/平米/月,上海中房物业管理有限公司,上海县房地产总公司,102栋,1312户
金桥一景,(浦东金桥)平度路488弄，平度路485弄,5.01E+12,2001年建成,板楼,1.1元/平米/月,伟达物业,上海锦旋房地产有限公司,32栋,433户
湖山在望花园,(闵行颛桥)都市路2566弄,5.01E+12,2004年建成,板楼,3.8元/平米/月,上海东湖物业管理有限公司,上海莘松房地产公司,331栋,337户
文化佳园,"(杨浦黄兴公园)国权东路99弄, 国权东路33号",5.01E+12,2002年建成,板楼,1.1至1.98元/平米/月,上海文化银湾物业管理有限公司,上海新演房地产开发有限公司,116栋,1152户
林水美地苑,(闵行莘庄)疏影路1188弄,5.01E+12,2008年建成,板楼,1.75元/平米/月,上海悦华物业管理有限公司,上海兆康房地产开发有限公司,29栋,824户
舒乐小区,(徐汇华东理工)老沪闵路1039弄,5.01E+12,1995年建成,板楼,0.5元/平米/月,上海汇成物业管理有限公司,上海金城房地产经营开发公司,64栋,1060户
天科苑,(浦东陆家嘴)浦东南路1550弄,5.01E+12,2003年建成,板楼,2.2元/平米/月,威格斯物业,上海科房置业有限公司,4栋,264户
事久馨苑,"(普陀长寿路)长寿路738号, 叶家宅路52号",5.01E+12,1982年建成,板楼,0.8元/平米/月,上海锦日物业管理有限公司,无,4栋,60户
百乐小区,(静安静安寺)万航渡路92号,5.01E+12,1978年建成,塔楼,1.2元/平米/月,上海金辉物业有限公司,上海静安地产(集团)有限公司,1栋,195户
三江小区,(徐汇龙华)三江路301弄,5.01E+12,1994年建成,板楼,0.8元/平米/月,上海申大物业有限公司,鸿基集团,67栋,1267户
双喜家园,"(杨浦东外滩)杨树浦路1111弄, 杨树浦路1177弄, 杨树浦路1197号",5.01E+12,1998年建成,塔楼/板楼,1.2元/平米/月,上海叶通物业管理有限公司,上海烟草集团房地产开发经营公司,31栋,592户
古北佘山国际别墅,(青浦赵巷)业辉路600弄,5.01E+12,2005年建成,板楼,1.45至4.8元/平米/月,上海古北物业管理有限公司,上海古北赵巷置业有限公司,194栋,194户
虹仙小区,"(长宁仙霞)仙霞路750弄4-63号,仙霞路780弄2-44号",5.01E+12,1989年建成,板楼,0.8至1元/平米/月,永乐物业，仙霞物业,长宁建筑,75栋,1716户
西郊大公馆,"(青浦徐泾)盈港东路333弄,徐泾东路333弄",5.01E+12,2004年建成,板楼,3元/平米/月,上海诚希物业管理有限公司,上海新典房地产开发有限公司_,126栋,126户
黄浦花园,(浦东张江)孙桥路238弄,5.01E+12,1995年建成,板楼,2元/平米/月,上海建工物业有限公司,上海振川物业有限公司,39栋,482户
延虹公寓,(闵行金虹桥)虹中路796弄,5.01E+12,2003年建成,板楼,1.5元/平米/月,自主物业,上海绿海房地产有限公司,6栋,163户
懿园,"(徐汇衡山路)建国西路506弄, 建国西路504号, 建国西路500号, 建国西路506弄1-57号",5.01E+12,1930年建成,塔楼/板楼,暂无信息,水平置业,水平物业开发有限公司,65栋,796户
绿园四村,(长宁西郊)淞虹路905弄,5.01E+12,1996年建成,板楼,0.5元/平米/月,上海新凯物业管理公司,上海华燕置业发展有限公司,41栋,480户
丁香大楼,(长宁镇宁路)华山路894弄,5.01E+12,1992年建成,塔楼,1.5元/平米/月,上海新长宁集团,上海新长宁（集团）有限公司,2栋,288户
恒源大楼,(静安大宁)广中路696号,5.01E+12,2003年建成,塔楼,2.2元/平米/月,上海景鸿物业管理有限公司,上海兴谊房地产有限公司,1栋,112户
梓树园,(徐汇康健)钦州路108号,5.01E+12,1996年建成,塔楼/板楼,1.94至2.56元/平米/月,上海益镇物业管理有限公司,上海梅苑房地产有限公司,7栋,614户
樟树苑,(徐汇徐汇滨江)龙吴路988弄1-24号,5.01E+12,2000年建成,板楼,0.5至1元/平米/月,中乔物业,上海瀛城实业有限公司,24栋,267户
金浦花园,(浦东塘桥)南泉路1261号,5.01E+12,1993年建成,板楼,1.5元/平米/月,上海金马新城房地产有限公司,上海东上海联合置业有限公司,3栋,213户
真北一街坊,"(普陀真如)大渡河路2087弄1-21号,大渡河路2031弄1-18号,桃浦路221弄1-36号",5.01E+12,1988年建成,板楼,0.25元/平米/月,上海真如物业有限公司,上海桃浦房地产开发有限公司,67栋,1638户
西郊佳景苑,(长宁西郊)金浜路50号,5.01E+12,2003年建成,板楼,2.28元/平米/月,上海永南物业管理有限公司,上海乐成置业发展有限公司,9栋,64户
德乐苑,(浦东金杨)博山东路136弄,5.01E+12,2002年建成,板楼,1.1元/平米/月,上海市洋泾物业公司,上海通联房地产有限公司,15栋,164户
芝巷小区,"(普陀长风)中江路1070弄,大渡河路1262弄,梅川路799弄",5.01E+12,1990年建成,板楼,1.1元/平米/月,上海明芝巷业管理有限公司,上海明智房地产有限公司,155栋,2366户
溧阳华府(公寓),"(虹口鲁迅公园)四平路283号5-9号, 四平路283号1-3号, 宝安支路20号",5.01E+12,1990年建成,塔楼/板楼,0.9至1.69元/平米/月,港联物业,上海虹祺房地产有限公司,12栋,1167户
申龙大楼,(黄浦世博滨江)中山南一路892号,5.01E+12,1989年建成,塔楼,0.8元/平米/月,申龙物业,上海浦宁实业有限公司,1栋,150户
东明苑,"(浦东世博)东明路383弄, （南码头路1186弄130支弄)",5.01E+12,1995年建成,塔楼/板楼,0.8至1元/平米/月,上海齐锦物业有限公司,上海经济适用房发展中心,35栋,1319户
上钞苑,(普陀长风)梅川路1111弄,5.01E+12,1999年建成,板楼,0.85元/平米/月,上海盛苑物业管理有限公司,上钞集团,60栋,700户
晨林花苑,(虹口临平路)物华路98弄,5.01E+12,1998年建成,板楼,1.5元/平米/月,上海纬立物业管理有限公司,上海纬立房地产有限公司,21栋,344户
丰盛雅苑,(嘉定江桥)华江路555弄,5.01E+12,1993年建成,板楼,1.98元/平米/月,自主物业,迈能房地产(上海)有限公司,135栋,214户
福华花苑,(徐汇斜土路)斜土路1111弄,5.01E+12,1999年建成,塔楼/板楼,1.8元/平米/月,上海福华物业发展有限公司,上海吕福房地产开发经营有限公司,18栋,544户
罗阳一村,(闵行梅陇)罗阳路258弄,5.01E+12,1995年建成,板楼,0.75元/平米/月,上海信谊物业经营管理有限公司,上海强生房地产开发经营公司,115栋,1451户
富民公寓,"(静安静安寺)延安中路1003号,延安中路1005号,富民路55弄,富民路49号",5.01E+12,2001年建成,板楼,1.3元/平米/月,上海华园物业管理有限公司,上海静安置业集团公司,7栋,144户
锦麟天地雅苑,(黄浦新天地)兴业路168弄,5.01E+12,2003年建成,板楼,7.5元/平米/月,第一太平戴维斯,上海华丽房地产发展有限公司,3栋,202户
天山河畔花园,(长宁天山)水城路883弄,5.01E+12,2004年建成,板楼,3.5元/平米/月,上海陆家嘴物业管理有限公司,上海宁新房地产开发有限公司,25栋,2026户
鑫兴大厦,(黄浦淮海中路)巨鹿路137号,5.01E+12,1994年建成,平房,8元/平米/月,暂无信息,无,1栋,49户
兴业嘉园,"(浦东潍坊)福山路519号,浦电路400号",5.01E+12,2003年建成,塔楼/板楼,2.55元/平米/月,上市物业,上海兴业投资发展有限公司,3栋,311户
阳明新城,(杨浦周家嘴路)江浦路1188号,5.01E+12,1997年建成,塔楼,2.7至3.5元/平米/月,上海侨阳物业管理公司,上海侨益房地产有限公司,3栋,813户
虹桥万博花园,(长宁中山公园)古北路69弄,5.01E+12,2004年建成,板楼,2至2.45元/平米/月,上海新长宁集团华阳物业有限公司,上海万博房地产开发有限公司,17栋,1192户
新丰小区,"(静安江宁路)余姚路180弄, 余姚路222弄, 安远路515弄, 新丰路607号, 常德路1039弄, 常德路1057弄, 新丰路609号",5.01E+12,1983年建成,板楼,0.5至1元/平米/月,康定物业,静安置业,33栋,811户
虹桥新城,(长宁中山公园)长宁路1661弄1-50号,5.01E+12,2000年建成,塔楼/板楼,1.8至2.3元/平米/月,上海新长宁集团天山物业有限公司,上海市绿地集团置业有限公司,38栋,1314户
盛世天地,(浦东三林)盛苑路800弄,5.01E+12,2001年建成,板楼,2.4元/平米/月,上海浦东房地产集团物业管理有限公司,上海市浦东新区房地产(集团)有限公司,447栋,447户
今日丽园,(长宁新华路)延安西路1328弄,5.01E+12,2003年建成,板楼,2.55元/平米/月,上海新长宁集团,上海金源房地产有限公司,6栋,307户
盛世年华,"(浦东源深)羽山路100弄, 羽山路04.14-20号",5.01E+12,2005年建成,板楼,2.8元/平米/月,上海浦东物业管理公司,上海三味企业发展有限公司,34栋,1569户
瑞禾明苑,(浦东外高桥)夏碧路79弄,5.01E+12,2005年建成,板楼,1.6元/平米/月,上海赐安物业管理有限公司,海瑞禾房地产有限公司,11栋,401户
虹桥中园,"(长宁西郊)哈密路1945弄,哈密路1999弄",5.01E+12,2006年建成,板楼,1.9元/平米/月,上海益镇物业管理有限公司,中州集团,17栋,533户
明园世纪城,(徐汇建国西路)复兴中路1199号,5.01E+12,2000年建成,塔楼/板楼,4元/平米/月,上海东湖物业管理有限公司,上海西南明园实业发展有限公司,4栋,410户
